epoch,train_loss,val_loss,train_acc,val_acc
1,1.758352304555246,1.1318348377799066,0.4256057268722467,0.7089371980676329
2,1.3458130237814614,1.0150671312774437,0.6275881057268723,0.7555555555555555
3,1.2337697584723586,0.9693963176386368,0.694465859030837,0.7973429951690821
4,1.1537308276487341,0.8656778849841316,0.7332186123348018,0.8594202898550725
5,1.105948476381764,0.8623114028990556,0.7545980176211454,0.8572463768115942
6,1.0765060348132633,0.8033067300699759,0.7700440528634361,0.8823671497584541
7,1.053120988055998,0.7985800148208361,0.7784003303964758,0.8891304347826087
8,1.0381266951560975,0.7873364980094099,0.7847329295154185,0.8954106280193237
9,1.0226525707917067,0.7866128835125246,0.7928551762114537,0.8944444444444445
10,1.0131124670810112,0.7673015092881982,0.7951266519823789,0.9026570048309178
11,1.000070614174074,0.7865563021765815,0.8026156387665199,0.8900966183574879
12,0.9951676571946837,0.7724397302249779,0.8031662995594714,0.9036231884057971
13,0.9863296196849336,0.7583528152986425,0.8066216960352423,0.9072463768115943
14,0.9802590539276862,0.7691499966930077,0.8105313876651983,0.8946859903381642
15,0.9757643421315937,0.7366064878477566,0.8113023127753304,0.9135265700483092
16,0.9676884533550245,0.7709489212519881,0.815625,0.8966183574879227
17,0.9674109691040106,0.7554148316959252,0.8153083700440529,0.8973429951690821
18,0.962476876811309,0.739452854677099,0.8171393171806167,0.9048309178743962
19,0.9562148208135025,0.7379777091712767,0.8217511013215859,0.9144927536231884
20,0.9543161070819468,0.7330176924161865,0.8210627753303965,0.9050724637681159
21,0.9488345748527459,0.746506520803424,0.8234030837004406,0.9038647342995169
22,0.947503437712329,0.7361653245589583,0.8231415198237886,0.9067632850241546
23,0.9453202568486924,0.7442212122074072,0.8245870044052863,0.9009661835748792
24,0.9396928786181143,0.7413236007598287,0.8265969162995594,0.9072463768115943
25,0.9371325187746123,0.7354675535994452,0.8278909691629956,0.9057971014492754
26,0.9374107734222245,0.7382651339406553,0.8291299559471366,0.9050724637681159
27,0.9323217921845188,0.7258818720849816,0.8316905286343612,0.9159420289855073
28,0.9309831960610881,0.7335079141860998,0.8292538546255507,0.9065217391304348
29,0.9298442976065144,0.7294806521871816,0.8295704845814978,0.907487922705314
30,0.9259151940303753,0.7243645644994173,0.8330258810572687,0.9144927536231884
31,0.9242768048714961,0.7096809908963632,0.834113436123348,0.9260869565217391
32,0.9214567783120445,0.7327116481347936,0.8356552863436123,0.9033816425120773
33,0.9189872751677088,0.7307511709738469,0.8357654185022027,0.9065217391304348
34,0.919700608747121,0.7131200412621245,0.8363711453744493,0.9258454106280193
35,0.9185209355690406,0.717605095439487,0.8371558370044053,0.9132850241545893
36,0.9175449003207001,0.7289017130787246,0.8362885462555066,0.9038647342995169
37,0.9140087636031768,0.7154602179780675,0.8376238986784141,0.9113526570048309
38,0.9122256006438302,0.7081569229923008,0.8389592511013216,0.9239130434782609
39,0.9117863230768279,0.729381561394475,0.8389041850220265,0.9043478260869565
40,0.9081456960560467,0.719296700136673,0.8408452643171807,0.9132850241545893
41,0.9066503783154592,0.7259474256764288,0.8405699339207049,0.9115942028985508
42,0.9067680301120102,0.7155568181604579,0.8414096916299559,0.9152173913043479
43,0.9060484786915884,0.7187206832683029,0.8418364537444933,0.9130434782608695
44,0.9043742076940998,0.7006116903346518,0.842318281938326,0.9260869565217391
45,0.9038726735220082,0.7132211613770268,0.842772577092511,0.9188405797101449
46,0.9053714792108746,0.7054545545923537,0.8409003303964758,0.9263285024154589
47,0.901617714329438,0.7084701932570785,0.8444520925110132,0.9188405797101449
48,0.9011363692745763,0.7139218219812365,0.8442318281938326,0.9159420289855073
49,0.901517690750996,0.7082104773337139,0.8431718061674008,0.9198067632850242
50,0.9000605136812521,0.7127572560080008,0.8447549559471366,0.9164251207729469
51,0.9006493442384157,0.7117007373611708,0.8431442731277533,0.9176328502415458
52,0.8986289833085652,0.7072938510185278,0.844851321585903,0.9198067632850242
53,0.897339799750744,0.710157110783213,0.8457599118942731,0.9159420289855073
54,0.8986367238775749,0.7134109126772857,0.8443006607929515,0.9166666666666666
55,0.8975704321252091,0.7067748354828876,0.845374449339207,0.9222222222222223
56,0.897082880310025,0.7089088600614797,0.8454019823788547,0.9178743961352657
57,0.8971331196734559,0.7087476114144072,0.8456084801762115,0.9193236714975845
58,0.8977516192696693,0.7083680829564154,0.8446310572687225,0.9183574879227053
59,0.8954721371507854,0.7082733199792208,0.8462279735682819,0.9205314009661836
60,0.8966662688927504,0.711133435037401,0.8452505506607929,0.9154589371980676
epoch,train_loss,val_loss,train_acc,val_acc
1,1.6397946189812607,1.4109981874209503,0.48881596133751304,0.5706658089417819
epoch,train_loss,val_loss,train_acc,val_acc
